NationalDrugCode,NdcDescription,NumberOfClaims
3223011,AZACTAM/DEX  INJ 1GM,231
3224011,AZACTAM/DEX  INJ 2GM,108
3229111,EMPLICITI    INJ 300MG,27
3232711,YERVOY       INJ 50MG,85
3232822,YERVOY       INJ 200MG,24
3255010,AZACTAM      INJ 500MG,1
3256010,AZACTAM      INJ 1GM,2
3256016,AZACTAM      INJ 1GM,428
3256020,AZACTAM      INJ 1GM,1
3257016,AZACTAM      INJ 2GM,381
3272510,TOBRAMYCIN   INJ 40MG/ML,6
3272530,TOBRAMYCIN   INJ 40MG/ML,4
3324908,ALOE VESTA   OIN PROTECTV,3
3362212,REYATAZ      CAP 300MG,187375
3362312,REYATAZ      CAP 100MG,148
3362412,REYATAZ      CAP 150MG,17228
3363112,REYATAZ      CAP 200MG,42860
3363810,REYATAZ      POW 50MG,6
3364111,EVOTAZ       TAB 300-150,4144
3377211,OPDIVO       INJ 40MG/4ML,132
3377412,OPDIVO       INJ 100MG/10,483
3421411,ONGLYZA      TAB 2.5MG,33780
3421421,ONGLYZA      TAB 2.5MG,1137
3421511,ONGLYZA      TAB 5MG,323000
3421521,ONGLYZA      TAB 5MG,39874
3421531,ONGLYZA      TAB 5MG,3361
3421541,ONGLYZA      TAB 5MG,1256
3422111,KOMBIGLYZE   TAB 5-500MG,27146
3422216,KOMBIGLYZE   TAB 2.5-1000,167091
3422311,KOMBIGLYZE   TAB 5-1000MG,107357
3452211,EMPLICITI    INJ 400MG,26
3504050,ATENOLOL     TAB 50MG,6
3504075,ATENOLOL     TAB 50MG,1
3515405,PRAVACHOL    TAB 10MG,1163
3517805,PRAVACHOL    TAB 20MG,10386
3517806,PRAVACHOL    TAB 20MG,47
3517875,PRAVACHOL    TAB 20MG,437
3519410,PRAVACHOL    TAB 40MG,16237
3519433,PRAVACHOL    TAB 40MG,15
3519510,PRAVACHOL    TAB 80MG,4776
3519533,PRAVACHOL    TAB 80MG,2
3524050,ATENOLOL     TAB 100MG,2
3585002,DILTIAZEM    TAB 120MG,5
3633517,DROXIA       CAP 200MG,1143
3633617,DROXIA       CAP 300MG,1473
3633717,DROXIA       CAP 400MG,1378
3870801,DOXYCYCL HYC CAP 50MG,19
4001822,TICLID       TAB 250MG,36
4001823,TICLID       TAB 250MG,28
4002828,NAPROSYN     SUS 125/5ML,374
4003822,VALCYTE      TAB 450MG,59144
4003909,VALCYTE      SOL 50MG/ML,2836
4005001,BACTRIM      TAB 400-80MG,1
4005801,KLONOPIN     TAB 1MG,24458
4005832,KLONOPIN     TAB 1MG,96
4005850,KLONOPIN     TAB 1MG,20
4006801,KLONOPIN     TAB 0.5MG,39630
4006832,KLONOPIN     TAB 0.5MG,23
4008694,COPEGUS      TAB 200MG,431
4009801,KLONOPIN     TAB 2MG,5945
4009832,KLONOPIN     TAB 2MG,5
4011701,BACTRIM DS   TAB 800-160,4
4011704,BACTRIM DS   TAB 800-160,1
4011714,BACTRIM DS   TAB 800-160,1
4012101,BUMEX        TAB 1MG,46
4012501,BUMEX        TAB 0.5MG,6
4014301,ROCALTROL    CAP 0.25MCG,253
4014323,ROCALTROL    CAP 0.25MCG,94
4014401,ROCALTROL    CAP 0.5MCG,121
4015201,BEROCCA PLUS TAB,1
4015549,ACCUTANE     CAP 10MG,211
4015649,ACCUTANE     CAP 40MG,2649
4016103,FANSIDAR     TAB 500/25,14
4016201,BUMEX        TAB 2MG,1
4016851,VERSED       SYP 2MG/ML,1
4016949,ACCUTANE     CAP 20MG,997
4017202,LARIAM       TAB 250MG,37
4018022,CARDENE SR   CAP 30MG,35
4018091,CARDENE SR   CAP 30MG,6
4018122,CARDENE SR   CAP 45MG,3
4018222,CARDENE SR   CAP 60MG,76
4018523,BONIVA       TAB 2.5MG,68
4018682,BONIVA       TAB 150MG,457533
4018683,BONIVA       TAB 150MG,455
4018809,BONIVA       INJ 3MG/3ML,3226
4019109,BONIVA       INJ 3MG/3ML,3513
4021457,SORIATANE    CAP 25MG,2
4022101,HIVID        TAB 0.75MG,3
4023909,KYTRIL       INJ 1MG/ML,22
4024009,KYTRIL       INJ 1MG/ML,15
4024126,KYTRIL       TAB 1MG,270
4024133,KYTRIL       TAB 1MG,218
4024451,INVIRASE     TAB 500MG,10163
4024515,INVIRASE     CAP 200MG,726
4024648,FORTOVASE    CAP 200MG,1
4025001,VESANOID     CAP 10MG,174
4025652,XENICAL      CAP 120MG,2382
4025752,XENICAL      CAP 120MG,2391
4025901,CELLCEPT     CAP 250MG,26253
4025905,CELLCEPT     CAP 250MG,6804
4025943,CELLCEPT     CAP 250MG,8878
4026001,CELLCEPT     TAB 500MG,41977
4026043,CELLCEPT     TAB 500MG,20936
4026129,CELLCEPT     SUS 200MG/ML,6510
4026201,DEMADEX      TAB 5MG,97
4026301,DEMADEX      TAB 10MG,213
4026349,DEMADEX      TAB 10MG,1
4026401,DEMADEX      TAB 20MG,1304
4026449,DEMADEX      TAB 20MG,25
4026501,DEMADEX      TAB 100MG,166
4026549,DEMADEX      TAB 100MG,1
4027301,TORADOL ORAL TAB 10MG,7
4027848,CYTOVENE     CAP 500MG,1
4027922,KLONOPIN WAF TAB 0.125MG,68
4028022,KLONOPIN WAF TAB 0.25MG,422
4028122,KLONOPIN WAF TAB 0.5MG,265
4028222,KLONOPIN WAF TAB 1MG,105
4028322,KLONOPIN WAF TAB 2MG,27
4028857,SORIATANE    CAP 10MG,1
4028957,SORIATANE    CAP 25MG,3
4035009,PEGASYS      INJ 180MCG/M,2245
4035039,PEGASYS      KIT 180MCG/M,4
4035239,PEGASYS      KIT,20184
4035730,PEGASYS      INJ,19233
4036030,PEGASYS      INJ PROCLICK,1167
4036530,PEGASYS      INJ PROCLICK,12235
4038039,FUZEON       KIT,1966
4038140,FUZEON       INJ 90MG,1796
4050109,ZENAPAX      INJ 25MG/5ML,34
4080085,TAMIFLU      CAP 75MG,1220834
4080185,TAMIFLU      CAP 45MG,11419
4080285,TAMIFLU      CAP 30MG,19939
4081009,TAMIFLU      SUS 12MG/ML,27
4081095,TAMIFLU      SUS 12MG/ML,68016
4082009,TAMIFLU      SUS 6MG/ML,43005
4082205,TAMIFLU      SUS 6MG/ML,135168
4100328,GANTRIS PED  SUS 500/5ML,497
4103328,BACTRIM      SUS 200-40/5,6
4110020,XELODA       TAB 150MG,4612
4110051,XELODA       TAB 150MG,8
4110116,XELODA       TAB 500MG,20
4110150,XELODA       TAB 500MG,56251
4110175,XELODA       TAB 500MG,659
4150603,EFUDEX       CRE 5%,3
4196201,ROCEPHIN     INJ 250MG,3
4196202,ROCEPHIN     INJ 250MG,6
4196301,ROCEPHIN     INJ 500MG,5
4196302,ROCEPHIN     INJ 500MG,18
4196401,ROCEPHIN     INJ 1GM,99
4196404,ROCEPHIN     INJ 1GM,60
4196405,ROCEPHIN     INJ 1GM,3
4196501,ROCEPHIN     INJ 2GM,3
4592001,TASMAR       TAB 100MG,4
4592101,TASMAR       TAB 200MG,7
4620001,ANAPROX DS   TAB 550MG,4
4620201,ANAPROX      TAB 275MG,124
4620301,ANAPROX DS   TAB 550MG,1632
4620314,ANAPROX DS   TAB 550MG,1
4631001,NAPROSYN     TAB 500MG,5
4631101,NAPROSYN     TAB 375MG,2
4631114,NAPROSYN     TAB 375MG,8
4631301,NAPROSYN     TAB 250MG,57
4631401,NAPROSYN     TAB 375MG,378
4631601,NAPROSYN     TAB 500MG,3211
4641501,EC-NAPROSYN  TAB 375MG,73
4641601,EC-NAPROSYN  TAB 500MG,896
4692206,TORADOL      INJ 30MG/ML,1
4692306,TORADOL      INJ 30MG/ML,2
4692606,TORADOL IV/  INJ IM 30MG,1
4692709,TORADOL      INJ 30MG/ML,1
4694003,CYTOVENE     INJ 500MG,73
4911500,ROCALTROL    SOL 1MCG/ML,47
5010001,TRUMENBA     INJ,2
5010005,TRUMENBA     INJ,186
5010010,TRUMENBA     INJ,82
5010432,HIBTITER     INJ,6
5075323,DIAMOX       CAP 500MG CR,16
5187547,TET/DIP ADLT INJ 5-2LF,1
5193831,TETANUS TOX  INJ 5LFU ADS,1
5197101,PREVNAR 13   INJ,20
5197102,PREVNAR 13   INJ,197
5197105,PREVNAR 13   INJ,129
5249123,VERELAN      CAP 240MG SR,7
5250023,FIBERCON     TAB 625MG,3
5306331,ALBUTEROL    TAB 4MG,1
5311618,DOXYCYCL HYC TAB 100MG,1
5311631,DOXYCYCL HYC TAB 100MG,1
5311731,SMZ-TMP      TAB 400-80MG,1
5312823,DIAZEPAM     TAB 2MG,23
5312931,DIAZEPAM     TAB 5MG,1
5313023,DIAZEPAM     TAB 10MG,1
5313031,DIAZEPAM     TAB 10MG,1
5313523,DICLOXACILL  CAP 250MG,4
5313623,DICLOXACILL  CAP 500MG,1
5314423,AMOXICILLIN  CAP 250MG,7
5314518,AMOXICILLIN  CAP 500MG,12
5314531,AMOXICILLIN  CAP 500MG,5
5314743,AMOXICILLIN  SUS 250/5ML,1
5318023,CLONIDINE    TAB 0.1MG,31
5318034,CLONIDINE    TAB 0.1MG,11
5318123,CLONIDINE    TAB 0.2MG,17
5318134,CLONIDINE    TAB 0.2MG,15
5318223,CLONIDINE    TAB 0.3MG,91
5321834,ATENOLOL     TAB 25MG,33
5321843,ATENOLOL     TAB 25MG,4
5321934,ATENOLOL     TAB 50MG,3
5321943,ATENOLOL     TAB 50MG,20
5322034,ATENOLOL     TAB 100MG,5
5322043,ATENOLOL     TAB 100MG,4
5323423,ZIAC         TAB 5/6.25MG,3
5323538,ZIAC         TAB 10/6.25,1
5328543,KETOPROFEN   CAP 50MG,1
5328643,KETOPROFEN   CAP 75MG,9
5330031,NAPROXEN     TAB 250MG,6
5330043,NAPROXEN     TAB 250MG,4
5330231,NAPROXEN     TAB 500MG,10
5330243,NAPROXEN     TAB 500MG,3
5333334,DILTIAZEM    TAB 30MG,2
5333343,DILTIAZEM    TAB 30MG,2
5333443,DILTIAZEM    TAB 60MG,11
5333534,DILTIAZEM    TAB 90MG,1
5333543,DILTIAZEM    TAB 90MG,2
5333643,DILTIAZEM    TAB 120MG,3
5334031,ALPRAZOLAM   TAB 0.25MG,11
5334043,ALPRAZOLAM   TAB 0.25MG,1
5334131,ALPRAZOLAM   TAB 0.5MG,9
5334143,ALPRAZOLAM   TAB 0.5MG,1
5334231,ALPRAZOLAM   TAB 1MG,21
5334243,ALPRAZOLAM   TAB 1MG,2
5334643,ALPRAZOLAM   TAB 2MG,2
5340723,CEPHRADINE   CAP 500MG,1
5341423,CEPHALEXIN   CAP 500MG,1
5341732,CIMETIDINE   TAB 400MG,3
5347327,PRAZOSIN HCL CAP 1MG,1
5347443,PRAZOSIN HCL CAP 2MG,1
5347543,PRAZOSIN HCL CAP 5MG,1
5352023,METHAZOLAMID TAB 50MG,5
5355043,SULINDAC     TAB 150MG,4
5355134,SULINDAC     TAB 200MG,1
5355143,SULINDAC     TAB 200MG,2
5356223,METHOCARBAM  TAB 500MG,5
5356231,METHOCARBAM  TAB 500MG,1
5356323,METHOCARBAM  TAB 750MG,5
5356331,METHOCARBAM  TAB 750MG,1
5356434,HYDRALAZINE  TAB 25MG,1
5370823,FUROSEMIDE   TAB 20MG,25
5370923,FUROSEMIDE   TAB 40MG,13
5374323,DIPYRIDAMOLE TAB 25MG,2
5375234,HYDROCHLOROT TAB 25MG,77
5375334,HYDROCHLOROT TAB 50MG,12
5376123,INDOMETHACIN CAP 25MG,2
5376223,INDOMETHACIN CAP 50MG,11
5376818,DOXYCYCL HYC CAP 100MG,3
5376831,DOXYCYCL HYC CAP 100MG,2
5379023,DIPYRIDAMOLE TAB 50MG,1
5379123,DIPYRIDAMOLE TAB 75MG,30
5381638,ZEBETA       TAB 5MG,3
5385031,METHYLDOPA   TAB 250MG,1
5385043,METHYLDOPA   TAB 250MG,5
5385143,METHYLDOPA   TAB 500MG,9
